"name","file","start_line","end_line","scope"
"safe_dump","lib/yaml/__init__.py",263,263,"Module yaml.__init__"
"add_implicit_resolver","lib/yaml/__init__.py",271,272,"Module yaml.__init__"
"add_implicit_resolver","lib/yaml/resolver.py",26,26,"Class BaseResolver"
"add_path_resolver","lib/yaml/__init__.py",287,287,"Module yaml.__init__"
"add_path_resolver","lib/yaml/resolver.py",38,38,"Class BaseResolver"
"add_constructor","lib/yaml/__init__.py",302,302,"Module yaml.__init__"
"add_constructor","lib/yaml/constructor.py",160,160,"Class BaseConstructor"
"add_multi_constructor","lib/yaml/__init__.py",315,315,"Module yaml.__init__"
"add_multi_constructor","lib/yaml/constructor.py",166,166,"Class BaseConstructor"
"add_representer","lib/yaml/__init__.py",329,329,"Module yaml.__init__"
"add_representer","lib/yaml/representer.py",66,66,"Class BaseRepresenter"
"add_multi_representer","lib/yaml/__init__.py",338,338,"Module yaml.__init__"
"add_multi_representer","lib/yaml/representer.py",72,72,"Class BaseRepresenter"
"from_yaml","lib/yaml/__init__.py",377,377,"Class YAMLObject"
"from_yaml","tests/legacy_tests/test_constructor.py",62,62,"Class MyTestClass2"
"from_yaml","tests/legacy_tests/test_constructor.py",72,72,"Class MyTestClass3"
"to_yaml","lib/yaml/__init__.py",384,384,"Class YAMLObject"
"to_yaml","tests/legacy_tests/test_constructor.py",66,66,"Class MyTestClass2"
"to_yaml","tests/legacy_tests/test_constructor.py",80,80,"Class MyTestClass3"
"construct_yaml_object","lib/yaml/constructor.py",416,416,"Class SafeConstructor"
"represent_yaml_object","lib/yaml/representer.py",223,223,"Class SafeRepresenter"
"_bridge_build_meta","packaging/_pyyaml_pep517.py",4,4,"Script _pyyaml_pep517.py"
"_expose_config_settings","packaging/_pyyaml_pep517.py",35,35,"Script _pyyaml_pep517.py"
"current","setup.py",107,107,"Class ActiveConfigSettings"
"current","packaging/_pyyaml_pep517.py",31,31,"Class ActiveConfigSettings"
"peek_token","lib/yaml/scanner.py",125,125,"Class Scanner"
"peek_token","tests/legacy_tests/canonical.py",31,31,"Class CanonicalScanner"
