"name","file","start_line","end_line","param_count"
"ucl_object_insert_key_merged","src/ucl_util.c",2539,2543,5
"ucl_object_pop_key","src/ucl_util.c",2528,2531,2
"ucl_object_pop_keyl","src/ucl_util.c",2509,2525,3
"ucl_object_delete_key","src/ucl_util.c",2503,2506,2
"ucl_object_delete_keyl","src/ucl_util.c",2482,2501,3
"ucl_object_merge","src/ucl_util.c",2551,2653,3
"ucl_object_replace_key","src/ucl_util.c",2545,2549,5
"ucl_object_insert_key","src/ucl_util.c",2533,2537,5
"ucl_object_frombool","src/ucl_util.c",3118,3129,1
"ucl_object_fromdouble","src/ucl_util.c",3104,3115,1
"ucl_object_fromint","src/ucl_util.c",3090,3101,1
"ucl_object_fromlstring","src/ucl_util.c",3084,3087,2
"ucl_object_fromstring","src/ucl_util.c",3078,3081,1
"ucl_object_fromstring_common","src/ucl_util.c",2225,2371,3
"ucl_object_string_to_type","src/ucl_util.c",3845,3876,2
"ucl_object_type_to_string","src/ucl_util.c",3879,3912,1
"ucl_object_type","src/ucl_util.c",3068,3075,1
"ucl_object_copy","src/ucl_util.c",3692,3695,1
"ucl_object_new_userdata","src/ucl_util.c",3045,3065,3
"ucl_object_new_full","src/ucl_util.c",2992,3024,2
"ucl_object_typed_new","src/ucl_util.c",2986,2989,1
"ucl_object_new","src/ucl_util.c",2980,2983,0
"ucl_copy_value_trash","src/ucl_util.c",546,587,1
"ucl_copy_key_trash","src/ucl_util.c",494,513,1
"utstring_findR","uthash/utstring.h",369,407,4
"utstring_find","uthash/utstring.h",323,365,4
"_utstring_findR","uthash/utstring.h",289,319,5
"_utstring_find","uthash/utstring.h",256,285,5
"_utstring_BuildTableR","uthash/utstring.h",216,252,3
"_utstring_BuildTable","uthash/utstring.h",176,212,3
"utstring_printf","uthash/utstring.h",150,155,2
"utstring_printf_va","uthash/utstring.h",123,144,3
"mum_hash","src/mum.h",423,438,3
"mum_hash64","src/mum.h",415,418,2
"mum_hash_finish","src/mum.h",407,410,1
"mum_hash_step","src/mum.h",400,403,2
"mum_hash_init","src/mum.h",393,396,1
"mum_hash_randomize","src/mum.h",375,389,1
"_mum_next_factor","src/mum.h",361,369,0
"_mum_hash_default","src/mum.h",338,358,3
"_mum_hash_avx2","src/mum.h",309,312,3
"_mum_final","src/mum.h",295,300,1
"_mum_hash_aligned","src/mum.h",232,291,3
"_mum_le32","src/mum.h",194,203,1
"_mum_le","src/mum.h",182,191,1
"_mum","src/mum.h",120,163,2
"ucl_test_character","src/ucl_chartable.h",262,265,2
"ucl_object_copy_internal","src/ucl_util.c",3617,3689,2
"ucl_object_insert_key_common","src/ucl_util.c",2374,2480,7
"ucl_include_common","src/ucl_util.c",1519,1653,6
"ucl_include_file","src/ucl_util.c",1430,1506,5
"ucl_include_file_single","src/ucl_util.c",1085,1419,4
"ucl_include_url","src/ucl_util.c",1008,1071,4
"ucl_pubkey_add","src/ucl_util.c",716,747,3
"ucl_object_free_internal","src/ucl_util.c",250,290,3
"ucl_object_dtor_unref","src/ucl_util.c",238,247,1
"ucl_object_dtor_unref_single","src/ucl_util.c",223,235,1
"ucl_object_dtor_free","src/ucl_util.c",194,215,1
"ud_emit","tests/test_generate.c",36,39,1
"ud_dtor","tests/test_generate.c",30,33,1
"ucl_test_null","tests/test_msgpack.c",465,468,0
"ucl_test_large_string","tests/test_msgpack.c",448,462,0
"ucl_test_large_array","tests/test_msgpack.c",426,445,0
"ucl_test_array","tests/test_msgpack.c",391,423,0
"ucl_test_large_map","tests/test_msgpack.c",365,388,0
"ucl_test_map","tests/test_msgpack.c",319,362,0
"ucl_test_boolean","tests/test_msgpack.c",303,316,0
"ucl_test_string","tests/test_msgpack.c",250,300,0
"ucl_test_integer","tests/test_msgpack.c",204,247,0
"random_key","tests/test_msgpack.c",81,99,1
"pcg32_random","tests/test_msgpack.c",70,78,0
"perform_tests","tests/test_schema.c",100,131,1
"perform_test","tests/test_schema.c",70,97,3
"read_stdin","tests/test_schema.c",35,67,1
"get_ticks","tests/test_speed.c",52,66,0
